time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.1,-8.239607366929054e-08,-3.017887179609473e-06,20.002115006468046,6.282350362963523,2.0080936547373085e-05,0.0,-4.114706713268093e-06,-0.00016088521871833475,0.04229800891938204,-0.02209417869202781,0.0005014378172057273,0.0,412.74237077238797,412.76891312247847,412.9234658972066,411.7526462698337
0.19999999999999998,-1.2651435778837374e-05,-9.994276251203669e-05,20.016199874631877,6.280050741472227,0.0019038772938264614,0.0,-0.0005240416979524541,-0.0022067147867160437,0.23935621787547526,-0.024361869009609256,0.04202890716830381,0.0,441.6184710625101,443.6686454639379,442.7404330524022,442.6284477787347
0.3,-0.0002581214089782729,-0.0005423074607796797,20.04968369288413,6.2766931183088825,0.009726740079395668,0.0,-0.00570921503107581,-0.007223658794873577,0.4302124317802793,-0.048897556938727535,0.11804132824626602,0.0,438.61327853735145,442.38873311429995,443.2697700648843,442.0580084191019
0.4000000000000001,-0.0016583767746229153,-0.0017789624828409517,20.110241759950007,6.270983107825737,0.019541337589950913,0.0,-0.024506038853529075,-0.018676548198295912,0.7805853806345713,-0.07056901678761196,0.059893581439843184,0.0,472.7050811476685,470.01664621008376,470.95438980477655,469.94560909779875
0.5000000000000001,-0.005357214117065531,-0.004470157666185574,20.19872858054553,6.264514504368918,0.025563367086086863,0.0,-0.05060897714643337,-0.036400594187130264,0.9888189199121469,-0.05637233056888237,0.0607083441390398,0.0,445.91379596223805,445.9562789448645,444.77584129824817,445.46971374948185
0.6000000000000002,-0.01207334906308824,-0.009344740129281215,20.31002047964197,6.258023865350724,0.029826463040977025,0.0,-0.08464272188884955,-0.06231316978677109,1.2365353945817705,-0.07897343742354129,0.008789622531016245,0.0,454.686384990324,452.18515806704806,453.71281813262453,452.6197864377429
0.7000000000000003,-0.022591901724431294,-0.017431384060596862,20.453087936985586,6.249651451760194,0.029902662596394514,0.0,-0.12576683966849386,-0.10120173080704864,1.6238987631303956,-0.09121698356422335,-0.012403681368442299,0.0,479.32977982091535,478.3625457491,479.37805595126935,478.8143648570404
0.8000000000000004,-0.03693132045168811,-0.029668002013857993,20.62585339857356,6.241909606037524,0.028864497554565105,0.0,-0.16079984402488257,-0.14504291104228748,1.8307926561408887,-0.05928859482494463,-0.007410922361260842,0.0,447.4994388425754,447.7433253070175,446.5304684850731,448.08545606326595
0.9000000000000005,-0.054795427082207034,-0.0468278821551974,20.822088977180762,6.236498847215433,0.027200908807972546,0.0,-0.19617951828708388,-0.19922267172392502,2.0930634794759033,-0.04673495012718136,-0.031981119220304804,0.0,458.8031566405605,457.63131739289275,458.42271767228044,459.01893330677683
1.0000000000000004,-0.07597548270993423,-0.06957206820835507,21.041320592083665,6.232041337767814,0.023685147917102967,0.0,-0.22675875785059166,-0.2564821106005857,2.290851409223971,-0.04140787955012149,-0.04008472561895853,0.0,448.570317805562,448.1747925822094,446.58129679897223,446.84079082592314
1.1000000000000005,-0.09996960817383195,-0.09824466977191713,21.279209340887633,6.227226056431537,0.01919477192216501,0.0,-0.2523044200967007,-0.31779814254480004,2.4662257383006563,-0.05904159887032497,-0.05251473155420647,0.0,444.30775996085714,443.69472166535934,444.80926310228256,443.9405276029596
1.2000000000000006,-0.12616459587380316,-0.13310115803867215,21.53042270128453,6.222992843111474,0.012729153872065524,0.0,-0.27053972220127703,-0.38010899246687724,2.5576366369283945,-0.020913717592715823,-0.08558627855808479,0.0,430.36492080867777,428.6786499125214,427.2350067230241,429.1797638405557
1.3000000000000007,-0.15386422072961728,-0.17474650051223245,21.796945267801803,6.222100984654158,0.003963200173756398,0.0,-0.28178093652722563,-0.45297781271508686,2.771907170995504,0.007110864267826946,-0.09083467870602763,0.0,452.72998168350733,452.47031185521877,452.32070968792436,453.6728685212112
1.4000000000000008,-0.18217476087695575,-0.22337924607724374,22.079514314168478,6.221088886035082,6.282509591198416,0.0,-0.283465599870153,-0.5197507691899802,2.8789794121019887,-0.041996023275146094,-0.0002642355455190447,0.0,431.12012312218104,435.6847043078103,434.8549597176744,432.37969006984775
1.5000000000000009,-0.21048416618405227,-0.27933093766360106,22.381090302074043,6.217074528431478,6.281709678502086,0.0,-0.28260417236930674,-0.6000258354484291,3.1511668527111345,-0.03741849065310495,-0.020639803487128936,0.0,466.0563573026008,465.0999354022929,464.570053426875,464.7846036360486
1.600000000000001,-0.23861695770524563,-0.34377393313267623,22.713174497940617,6.214697305732843,6.277846841749302,0.0,-0.2793509556723758,-0.6892984570740515,3.488683574149493,-0.005805204476922604,-0.07225848860077273,0.0,478.69249807586533,476.32884143258104,478.56469645152845,480.0061992766386
1.700000000000001,-0.2661095912987355,-0.41713083869782763,23.077064719006167,6.214366929296883,6.270855281848451,0.0,-0.2690732828026398,-0.7778225785964723,3.787368461485605,0.00035397466277745527,-0.06648756112088605,0.0,473.5331306164414,473.79602609845153,473.347487212446,473.6318659803274
1.8000000000000012,-0.29232813796497975,-0.4984896893452445,23.458129648505405,6.213322470128091,6.267408338719047,0.0,-0.2546220282505313,-0.8494819228449184,3.8336055788468673,-0.02876142506565526,0.001861231547193514,0.0,426.4615377483025,429.94913937807513,429.0755657763995,427.5898586154757
1.9000000000000012,-0.31688083120004623,-0.5875877318260471,23.850574478852607,6.210054750672974,6.266739428083499,0.0,-0.23636509223402666,-0.933009099854105,4.014076695577348,-0.038800843283088325,-0.02079898838973447,0.0,454.4942585404069,453.40324563256695,455.1770013310761,454.69426275911064
